"ID","VERTEX","LAT","LON"
119,"1","43.86666667","-68.81666667"
119,"2","43.01666667","-68.81666667"
119,"3","43.01666667","-67.71666667"
119,"4","43.86666667","-67.71666667"
120,"1","43.33333333","-70.66666667"
120,"2","42.61666667","-70.66666667"
120,"3","42.61666667","-69.45"
120,"4","43.33333333","-69.45"
121,"1","44.08333333","-68.6"
121,"2","43.26666667","-68.6"
121,"3","43.26666667","-67.46666667"
121,"4","44.08333333","-67.46666667"
122,"1","43.3","-69.68333333"
122,"2","42.61666667","-69.68333333"
122,"3","42.61666667","-68.75"
122,"4","43.3","-68.75"
123,"1","43.31666667","-70.01666667"
123,"2","42.3","-70.01666667"
123,"3","42.3","-68.51666667"
123,"4","43.31666667","-68.51666667"
124,"1","43.7","-68.68333333"
124,"2","43.05","-68.68333333"
124,"3","43.05","-67.76666667"
124,"4","43.7","-67.76666667"
125,"1","43.41666667","-70.56666667"
125,"2","42.75","-70.56666667"
125,"3","42.75","-69.66666667"
125,"4","43.41666667","-69.66666667"
126,"1","43.2","-69.31666667"
126,"2","42.46666667","-69.31666667"
126,"3","42.46666667","-68.45"
126,"4","43.2","-68.45"
127,"1","43.8","-68.81666667"
127,"2","43.03333333","-68.81666667"
127,"3","43.03333333","-67.76666667"
127,"4","43.8","-67.76666667"
128,"1","40.48333333","-73.91666667"
128,"2","39.81666667","-73.91666667"
128,"3","39.81666667","-73.05"
128,"4","40.48333333","-73.05"
129,"1","42.11666667","-70.31666667"
129,"2","41.45","-70.31666667"
129,"3","41.45","-69.41666667"
129,"4","42.11666667","-69.41666667"
130,"1","41.6","-69.93333333"
130,"2","40.88333333","-69.93333333"
130,"3","40.88333333","-69"
130,"4","41.6","-69"
131,"1","41.83333333","-70.48333333"
131,"2","41.33333333","-70.48333333"
131,"3","41.33333333","-69.81666667"
131,"4","41.83333333","-69.81666667"
132,"1","41.5","-71.13333333"
132,"2","40.8","-71.13333333"
132,"3","40.8","-70.08333333"
132,"4","41.5","-70.08333333"
133,"1","42.38333333","-70.38333333"
133,"2","42","-70.38333333"
133,"3","42","-69.75"
133,"4","42.38333333","-69.75"
134,"1","42","-70"
134,"2","41.3","-70"
134,"3","41.3","-69.38333333"
134,"4","42","-69.38333333"
135,"1","43.23333333","-69.93333333"
135,"2","42.2","-69.93333333"
135,"3","42.2","-68.41666667"
135,"4","43.23333333","-68.41666667"
136,"1","42.83333333","-68.3"
136,"2","42.2","-68.3"
136,"3","42.2","-67.4"
136,"4","42.83333333","-67.4"
137,"1","43.31666667","-70.71666667"
137,"2","42.63333333","-70.71666667"
137,"3","42.63333333","-69.78333333"
137,"4","43.31666667","-69.78333333"
138,"1","42.98333333","-70.68333333"
138,"2","42.23333333","-70.68333333"
138,"3","42.23333333","-69.66666667"
138,"4","42.98333333","-69.66666667"
